10-01	9180	2	中国石油(601857)融资融券信息(09-30)	中国石油(601857)2016-09-30融资融券信息显示，中国石油融资余额1,199,875,445元，融券余额3,796,998元，融资买入额8,580,989元，融资偿还额30,319,043元，融资净买额-21,738,054元，融券余量525,900股，融券卖出量0股，融券偿还量182,400股，融资融券余额1,203,672,443元。中国石油融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-09-30601857中国石油1,203,672,443融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)1,199,875,4458,580,98930,319,043-21,738,054融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)3,796,998525,9000182,400沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2016-10-01 07:38）	股市大忌：一涨就激动，一涨就做梦；股市谚语：抱着幻想炒股必套必亏；股市生存法则：高抛低吸，玩死主力。股市真言：见好就收，贪心必套； 铁路基建将是未来中国经济的支柱！随着国家加大对房地产政策的调整，房地产黄金十年已经过去。国家要稳增长必定加大对铁路的投资力度，2016年国家对高铁投资首超万亿元创历史新高。再加上地方对城际铁路和地铁投资的2万亿。铁路基建企业将经历辉煌的十年，业绩将爆发式增长。只有铁路基建才能支撑未来中国经济，底部重点关注以下股票：中国铁建，中国中铁，中铁二局，中国中车，中国交建，中国电建，中国建筑，宝钢股份，中煤能源，中国化学，中国联通，中国西电等等，二线低价蓝筹才是未来的股市主力军，克服恐惧，大胆买入，耐心持有，享受从低价股到高价股财产增值的乐趣，主力打压建仓是散户来之不易的低吸良机，现在不低买，等待何时？没有业绩支撑，单凭讲故事忽悠的高价题材股从哪里涨上去还会跌到哪里。‘一带一路’将是未来股市的投资主题。 
09-30	5308	1	中国石油股份有一宗大手成交 涉资2,555万元	　　中国石油股份有大手成交，每股作价5.11元，涉及500万股，涉资2,555万元。（来源：华富财经 2016-09-30 14:50）	诈骗 
09-30	2531	1	中国石油(601857)融资融券信息(09-29)	中国石油(601857)2016-09-29融资融券信息显示，中国石油融资余额1,221,613,499元，融券余额5,121,009元，融资买入额15,409,117元，融资偿还额29,744,109元，融资净买额-14,334,992元，融券余量708,300股，融券卖出量0股，融券偿还量13,400股，融资融券余额1,226,734,508元。中国石油融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-09-29601857中国石油1,226,734,508融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)1,221,613,49915,409,11729,744,109-14,334,992融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)5,121,009708,300013,400沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2016-09-30 07:39）	经济低迷，困在里面的游资大户也心惊胆战，他们心里明白，没有经济基础，拉升已经失去动力和意义。企业没有业绩，股市拿什么涨呢？ 光凭几个散户不切实际的幻想就能涨吗？抱着幻想死等，最终会变成等死。现在盲目做多就是作茧自缚，自寻死路。经济不景气，一切虚假拉升都是为了诱多出货。游资大户被机构空头连续不断的大卖单压的喘不过气。游资主力资金链很紧张，实力不是太强，已经快支撑不住，只能利用短暂的脉冲式拉升，然后偷偷出货。散友们应逢高出局，观望为主，耐心等待超跌机会，留得青山在不愁没柴烧，切记不要被游资主力诱多套牢在高位。更不要成为机构空头屠杀游资大户的替死鬼。股指期货时代要改变过去单边做多的炒股思维，你敢买，就有机构敢卖，涨的越高，做空获利空间越大。机构做空同样赚大钱，经济萧条，主力何必冒着拉高被套的风险呢？你以为主力会抬轿让散户赚钱吗？切记：经济萧条，熊市中的每一次上涨反弹都是逃命的绝佳良机。股市规律：诱多过后就是补跌！股市大忌：一涨就激动，一涨就做梦！股市谚语：抱着幻想炒股必套必亏！股市生存法则：高抛低吸，玩死主力！股市真言：见好就收，贪心必套！ 
09-29	7796	6	中国石油“弘扬石油精神推进稳健发展”专题报告会走进廊坊	　　“零下30度的气温，我的同事杨鹏飞一把拿过检测仪，掀开衣服，塞到了胸口，那个检测仪就是个冰疙瘩呀……”29日，中国石油“弘扬石油精神推进稳健发展”专题报告会在河北廊坊举行，2200余人在现场和分会场聆听了报告会。报告团成员的精彩事迹报告，赢得了台下观众的阵阵掌声。　　据了解，为大力弘扬“石油精神”，凝聚新时期干事创业的强大动力，推进中国石油稳健发展，中国石油天然气集团公司组织了由9名全国优秀共产党员、全国劳动模范、全国技术能手和1名公司模范集体组成的报告团，分赴各企业巡回报告。此前，报告团已作了16场报告，3万多名干部员工聆听了先进典型的事迹　　报告会开始前，中国石油天然气管道局首任局长、大庆会战“五面红旗”之一的朱洪昌老人讲述了自己曾经的工作历程，仿佛带着大家的记忆穿越时空隧道，来到了中国石油管道事业起源的年代，来到了老一辈管道人不讲条件、只讲奉献地践行并弘扬石油精神的岁月。他的事迹让在场所有人为之鼓舞。　　在随后召开的报告会上，尼罗河公司副总工程师王杰、四川销售泸州公司龙马连片管理团队经理陈小玲、东北炼化工程公司焊接工作室主任徐龙杰等5名行业先进典型讲述了他们在平凡岗位上的感人事迹。　　参会人员纷纷表示，报告团讲述的一个个关于坚守和奉献的故事，都体现和传递着中国石油精神正能量，石油精神正是我国石油事业蓬勃发展的不竭动力，也是一代又一代石油人艰苦创业，努力奋斗的精神源泉。此次报告会让大家深受教育和鼓舞。今后大家要以此为契机，向这些先进典型学习，并立足岗位工作，努力做实事，发挥艰苦创业的精神，为中国石油稳健发展贡献力量。　　据了解，多年来，中国石油天然气管道局持续开展“传承八三精神，弘扬管道优良传统”主题教育，每年8月3日前后，该局采取座谈会、报告会、故事会、图片展等多种形式开展主题教育，用老一辈石油人的光荣传统和优良作风鼓舞士气、振奋精神、凝聚队伍。近年来，管道系统先后涌现出省部级以上劳动模范和五一劳动奖章获得者近百人。 （来源：中国新闻网 2016-09-29 23:58）	中石油有责任有担当，好样的！！！！ 经济低迷，困在里面的游资大户也心惊胆战，他们心里明白，没有经济基础，拉升已经失去动力和意义。企业没有业绩，股市拿什么涨呢？ 光凭几个散户不切实际的幻想就能涨吗？抱着幻想死等，最终会变成等死。现在盲目做多就是作茧自缚，自寻死路。经济不景气，一切虚假拉升都是为了诱多出货。游资大户被机构空头连续不断的大卖单压的喘不过气。游资主力资金链很紧张，实力不是太强，已经快支撑不住，只能利用短暂的脉冲式拉升，然后偷偷出货。散友们应逢高出局，观望为主，耐心等待超跌机会，留得青山在不愁没柴烧，切记不要被游资主力诱多套牢在高位。更不要成为机构空头屠杀游资大户的替死鬼。股指期货时代要改变过去单边做多的炒股思维，你敢买，就有机构敢卖，涨的越高，做空获利空间越大。机构做空同样赚大钱，经济萧条，主力何必冒着拉高被套的风险呢？你以为主力会抬轿让散户赚钱吗？切记：经济萧条，熊市中的每一次上涨反弹都是逃命的绝佳良机。股市规律：诱多过后就是补跌！股市大忌：一涨就激动，一涨就做梦！股市谚语：抱着幻想炒股必套必亏！股市生存法则：高抛低吸，玩死主力！股市真言：见好就收，贪心必套！ 弘扬你妈的比！少贪点就不错了。 中石油有责任有担当，好样的！！！！ 真是有担当的大央企啊！ 
09-29	4209	1	中国石油化工有一宗大手成交 涉资2204.76万元	　　中国石油化工有大手成交，每股作价5.70元，涉及386.8万股，涉资2,204.76万元。（来源：华富财经 2016-09-29 11:20）	经济低迷，困在里面的游资大户也心惊胆战，他们心里明白，没有经济基础，拉升已经失去动力和意义。企业没有业绩，股市拿什么涨呢？ 光凭几个散户不切实际的幻想就能涨吗？抱着幻想死等，最终会变成等死。现在盲目做多就是作茧自缚，自寻死路。经济不景气，一切虚假拉升都是为了诱多出货。游资大户被机构空头连续不断的大卖单压的喘不过气。游资主力资金链很紧张，实力不是太强，已经快支撑不住，只能利用短暂的脉冲式拉升，然后偷偷出货。散友们应逢高出局，观望为主，耐心等待超跌机会，留得青山在不愁没柴烧，切记不要被游资主力诱多套牢在高位。更不要成为机构空头屠杀游资大户的替死鬼。股指期货时代要改变过去单边做多的炒股思维，你敢买，就有机构敢卖，涨的越高，做空获利空间越大。机构做空同样赚大钱，经济萧条，主力何必冒着拉高被套的风险呢？你以为主力会抬轿让散户赚钱吗？切记：经济萧条，熊市中的每一次上涨反弹都是逃命的绝佳良机。股市规律：诱多过后就是补跌！股市大忌：一涨就激动，一涨就做梦！股市谚语：抱着幻想炒股必套必亏！股市生存法则：高抛低吸，玩死主力！股市真言：见好就收，贪心必套！ 
09-29	2975	0	麦格理：因非乙烯产品毛利改善 升中石化目标价至7.1元	　　麦格理发表报告指，中石化化工业务几乎全部以石脑油(naphtha)作原材料，现时产品组合中18%为乙烯、24%为合成树脂、16%为合成纤维、42%为基本有机化工原料，整体业务毛利自2014年下半年起改善接近70%，目前每吨报价为210美元水平，主要靠油价下跌及终端需求稳定支撑。　　麦格理表示，虽然乙烯石脑油下行风险扩大，但预期可被非乙烯产品的毛利改善完全抵消，因此综合化工业务毛利将保持稳定，预计2017及2018年可维持于每吨210美元水平。　　此外，预期化工业务占集团2017年EBITDA约30%，该行上调集团2017至2018年EBITDA预测7%，以反映非乙烯产品毛利改善，H股目标价由6.6元上调至7.1元，评级“跑赢大市”。（来源：智通财经 2016-09-29 11:17）	
09-29	2020	2	中国石油(601857)融资融券信息(09-28)	中国石油(601857)2016-09-28融资融券信息显示，中国石油融资余额1,235,948,491元，融券余额5,189,023元，融资买入额5,425,004元，融资偿还额9,785,482元，融资净买额-4,360,478元，融券余量721,700股，融券卖出量272,700股，融券偿还量0股，融资融券余额1,241,137,514元。中国石油融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-09-28601857中国石油1,241,137,514融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)1,235,948,4915,425,0049,785,482-4,360,478融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)5,189,023721,700272,7000沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2016-09-29 07:38）	财力 加油 献花 9月28日次新股岛型反转雪榕生物巨封涨停板57.97元，今日踏空智机构别再次错过低于55元袖珍次新股天鹅股份！ 2016年国家对高铁投资首超万亿元创历史新高,再加上地方对城际铁路和地铁投资的2万亿。铁路基建企业业绩将爆发式增长。底部重点关注以下股票：中国铁建，中国中铁，中铁二局，中国中车，中国交建，中国电建，中国建筑，宝钢股份，中煤能源，中国化学，中国联通，中国西电等等，二线低价蓝筹才是未来的股市主力军，克服恐惧，大胆买入，耐心持有，享受从低价股到高价股财产增值的乐趣，主力打压建仓是散户来之不易的低吸良机，现在不低买，等待何时？没有业绩支撑，单凭讲故事忽悠的高价题材股从哪里涨上去还会跌到哪里。‘一带一路’将是未来股市的投资主题。 
09-29	4827	4	中石油成立首家售电公司抢占新电改红利	　　我国最大的油企中石油开始进军电力市场了。近日，大庆油田售电公司成立，这是中石油首家售电公司，并拥有全国最大规模的配电网资产。　　据了解，大庆油田售电公司制定了立足现有油田市场、放眼中国石油用电市场、逐步参与全国售电市场的战略。　　而需要一提的是，目前，大庆油田正处于资源枯竭的困境，转型也较为艰难。与此同时，新电改如火如荼，上万亿元售电市场已经开启。　　分析师认为，拥有配电网资产的大庆油田，在售电市场初期，有望成为受益者，随着新电改的深入，这也是中石油大庆油田转型的好时期。　　中石油成立首家售电公司　　《证券日报》记者了解到，9月26日，大庆油田售电有限责任公司正式成立。这标志着大庆油田电力集团开始从完全的客从地位向市场竞争主体地位转变。　　这也是中国石油第一家售电公司，拥有全国最大规模配电网资产，它的成立对促进地方经济发展、降低用户用电成本等具有现实意义。　　大庆油田电力集团是大庆油田电力行业的专业化、集团化公司，年供电量150亿千瓦时，占黑龙江省用电量的1/5，年发电能力86亿千瓦时，拥有全国最大的企业电网和中国石油最大的企业自备电厂。　　而大庆油田售电公司是在国家新一轮电力体制改革中诞生的。根据“管住中间，放开两头”政策，售电公司拥有配网运营权，增量配电网拥有近30万居民、社会企事业单位和商业用户，年供电量达13亿千瓦时。9月2日，黑龙江省政府经严格考核，推荐大庆油田配电网投资建设运营项目申报全国100个增量配电业务试点项目，获批后将优先获得国家电力体制改革支持性政策。　　据了解，大庆油田售电公司制定了立足现有油田市场、放眼中国石油用电市场、逐步参与全国售电市场的“三步走”战略。第一步，解决因无《电力业务许可证》造成的配电网电价不合理问题，更好地为居民、社会企事业单位和商业用户提供保底供电服务；第二步，参与电力市场交易，在大庆油田内部提供大用户购电服务，降低油田用电成本；第三步，依托整体业务优势，代表黑龙江省内中国石油企业与当地发电企业议价，争取较低电价。　　有券商分析师向《证券日报》记者表示，随着新电改的不断深入，预计中石油后期还会成立其它的售电公司。　　低油价下谋转型　　在低油价的困境下，中石油也不得不谋求新的方式来转型，以增加新的盈利渠道。　　根据中石油的半年报，公司上半年实现净利润5.31亿元，同比下跌97.9%。　　上半年，国际油气价格进一步走低，国内成品油需求低迷，市场竞争加剧。中石油称，公司生产经营面临上市以来最为困难的时期。　　而中石油选择在大庆油田成立第一家售电公司，也与大庆油田陷入资源枯竭的困境有关。2015年大庆油田首次实施减产，且在“十三五”期间平均每年都要减产130多万吨。今年前两个月，大庆油田亏损超过50亿元。　　大庆油田在低油价下正在面临巨大的经营压力。　　因为面临资源枯竭的问题，大庆油田的转型也颇为艰难，但在油价高的时候，转型动力不足。而油价下跌后，低油价长期存在的现实，也让大庆油田的日子愈发艰难。　　相比之下，新电改可谓如火如荼，电力市场化的速度也越来越快。目前，全国已经成立了1000多家售电公司，上万亿元售电市场已经开启。除了传统电企，不少公司都积极进入这个市场。　　目前，国内售电市场正在被激活，云南、广东、重庆、安徽等区域市场化交易电量大幅提升，其中云南市场化交易电量占比在30%以上。　　新电改推进速度超过预期。继13省市电改方案获批后，《售电公司准入与退出管理办法》《有序放开配电业务管理办法》《电力中长期交易基本规则》等核心配套文件也落地在即。　　华创证券分析师张文博表示，售电公司在电力市场开放初期，依托工业园区等用户资源、电厂资源、配网资产， 快速进入电力市场，成为电改产业链上的最大受益者。　　业内认为，大庆油田售电公司拥有全国最大规模配电网资产，在此轮电改中优势较为明显，也是其进军电力市场的好机会。（来源：证券日报 2016-09-29 02:00）	以前电改是发电供电分离现在电改是发电企业也能卖电。晕了不懂。 以前电改是发电供电分离现在电改是发电企业也能卖电。晕了不懂。 好像是有点利好 以前电改是发电供电分离现在电改是发电企业也能卖电。晕了不懂。 
09-28	9581	4	中国石化委任王德华为公司财务总监	　　中国石化(00386)董事会宣布，王德华先生已获委任为公司财务总监，任期自2016年9月28日起至2018年5月27日止。　　资料显示，王德华，50岁，高级会计师，大学文化。2001年1月起任中国石化财务部副主任；2014年5月起任中国石化财务部代理主任；2015年10月起任中国石化财务部主任；2015年11月起任中国石油化工集团公司财务部主任；2016年8月起任中国石化财务部主任。王先生同时还兼任中国石化盛骏国际投资有限公司董事长、中石化保险经纪有限公司董事长、中国石化青岛炼油化工有限责任公司董事、中国石化催化剂有限公司监事、太平石化金融租赁有限责任公司副董事长。（来源：智通财经 2016-09-28 16:50）	大利好明天起十个板 中石油今天的股价充分反映了这个国家对人民的欺诈，残酷 有卵用？ 如果今天不是4.85收盘，这个财务总监快快滚回老家去好了~~ 
09-28	5070	5	中石油集团首家售电公司诞生 有望分享电改红利	　　9月28日，中石油集团宣布，拥有全国最大规模配电网资产的售电公司——大庆油田售电有限责任公司近日正式成立。这标志着大庆油田电力集团从客从地位向市场竞争主体地位转变，有望分享电改带来的收益。　　智通财经了解到，大庆油田售电有限责任公司是中石油首家售电公司，对促进地方经济发展、降低用户用电成本具有重要意义。公司是在国家新一轮电力体制改革中诞生的，旨在进一步促进能源结构优化，还原电力的商品属性。　　据相关报道，大庆油田电力集团是大庆油田电力行业的专业化、集团化公司，年供电量150亿千瓦时，占黑龙江省用电量的1/5，年发电能力86亿千瓦时，拥有全国最大的企业电网和中石油最大的企业自备电厂。　　据悉，电改时间表全面提前，新一轮政策密集落地期将至。据了解，继13省市电改方案获批后，业内翘首以盼的《售电公司准入与退出管理办法》《有序放开配电业务管理办法》《电力中长期交易基本规则》等核心配套文件也落地在即。　　业内人士认为，此项电改推进力度之大超出市场预期，已经不是普通意义上的试点，是配电网革命的序幕。（来源：智通财经 2016-09-28 15:06）	有吊用？ 一会儿中石油集团，一会儿中石油，神也搞不清谁是谁。一会儿中石油集团，一会儿中石油，买了中国石油的股票，又听说中石油资产注入天利、济柴，最后把人搞的稀里糊涂，也搞不清楚是中石油集团还是中国石油股份把优质资产给了谁，还是谁把优质资产给了中石油。我的天吶……一 交易清淡。哑糗？ 确实如此，小散也没办法既然买了，耐心等待吧！ 上海亚虹603159最高大上的公司。只买高大上地区的次新股。，小城市边缘化了。不管是房价。土地赫企业，全球资金只会在特大城市逗留，上海土地疯涨暴涨。就是最大王牌。经济衰退，小城市次新股大多要破产坚决不碰了，只买上海亚虹。。搞30年企业不如大城市买一套房。上海亚虹具有上海巨大土地就是爷爷 
09-28	13184	12	中石油首家售电公司在大庆成立 拥有全国最大规模配电网资产	　　中石油集团28日宣布，拥有全国最大规模配电网资产的售电公司——大庆油田售电有限责任公司近日正式成立。这标志着大庆油田电力集团从客从地位向市场竞争主体地位转变，有望分享电改带来的收益。 　　大庆油田售电有限责任公司是中石油首家售电公司，对促进地方经济发展、降低用户用电成本具有重要意义。公司是在国家新一轮电力体制改革中诞生的，旨在进一步促进能源结构优化，还原电力的商品属性。 　　大庆油田电力集团是大庆油田电力行业的专业化、集团化公司，年供电量150亿千瓦时，占黑龙江省用电量的1/5，年发电能力86亿千瓦时，拥有全国最大的企业电网和中石油最大的企业自备电厂。 　　大庆油田售电有限责任公司采用多种方式购电，然后销售给用户的运作模式，同时提供增值服务，是效益明显、后劲十足的新兴产业。公司增量配电网拥有近30万居民、社会企事业单位和商业用户，年供电量达13亿千瓦时。9月2日，黑龙江省政府经严格考核，推荐大庆油田配电网投资建设运营项目申报全国100个增量配电业务试点项目，获批后将优先获得国家电力体制改革支持性政策。 　　大庆油田售电有限责任公司由中石油投资成立，可增加地方税收，促进经济发展。公司制定了立足现有油田市场、放眼中石油用电市场、逐步参与全国售电市场的“三步走”战略，为用户提供更优质服务。 　　此前发布的《关于推进售电侧改革的实施意见》对电网企业营业范围、配电业务等作出了明确规定，首先是限定电网职能，分离售电业务，电网企业只拥有输电网、配电网运营权。按照《意见》，售电公司可分为三类：第一类是电网企业的售电公司；第二类是社会资本投资增量配电网，拥有配电网运营权的售电公司；第三类是独立的售电公司，不拥有配电网运营权，不承担保底供电服务。售电公司的注入门槛设定在资产总额2000万以上，不同等级公司所能够从事的售电量不同。而电费由电网统一收取再支付给发电和售电公司。（来源：中国证券网 2016-09-28 12:57）	不过是利益再分配，如果这也叫改革，我也是醉了。中华民族前途，，，，， 没赶上涨停板的请到锐奇股份来机器人概念股盘子超级袖珍小二三十亿流通二亿而且严重超跌高位四十六现在股价九块五随时引爆飞起！有远见有慧眼识货的都来关注吧！ 好，把电老虎打趴下。 智商堪忧 抄底 又回到从前了，发输配集一体了。 有卵用？ 一瓦能赚多少钱，哈哈 算错了呵呵 15亿 总股本只有5亿股，每股净资产只有5分钱的个公司怎么买中石油的天然气管道局、中国石油工程建设公司、中国寰球工程公司等这些资产？这事靠谱的重组还是什么？ ! 
